 Autor; Obra; Género; Época
 Apicio; Coqu.; Prosa; s. I d.C.
 Apuleyo; Met.; Prosa; s. II d.C.
 Catulo ; Carm.; Poesía; s. I a.C.
 Celso; Med; Prosa; s. I a.C.
 César; Civ.; Prosa; s. I a.C.
 César; Gal.; Prosa; s. I a.C.
 Cicerón; Agr; Prosa; s. I a.C.
 Cicerón; Arch; Prosa; s. I a.C.
 Cicerón; Att; Prosa; s. I a.C.
 Cicerón; Catil; Prosa; s. I a.C.
 Cicerón; Clu; Prosa; s. I a.C.
 Cicerón; Deiot; Prosa; s. I a.C.
 Cicerón; deOrat; Prosa; s. I a.C.
 Cicerón; Div; Prosa; s. I a.C.
 Cicerón; Dom; Prosa; s. I a.C.
 Cicerón; Fam; Prosa; s. I a.C.
 Cicerón; Fin; Prosa; s. I a.C.
 Cicerón; Har; Prosa; s. I a.C.
 Cicerón; Inv; Prosa; s. I a.C.
 Cicerón; Leg; Prosa; s. I a.C.
 Cicerón; Man; Prosa; s. I a.C.
 Cicerón; Mil; Prosa; s. I a.C.
 Cicerón; Mur; Prosa; s. I a.C.
 Cicerón; ND; Prosa; s. I a.C.
 Cicerón; Off; Prosa; s. I a.C.
 Cicerón; Phil; Prosa; s. I a.C.
 Cicerón; Rep; Prosa; s. I a.C.
 Cicerón; Sul; Prosa; s. I a.C.
 Cicerón; Tusc; Prosa; s. I a.C.
 Cicerón; Ver; Prosa; s. I a.C.
 Columela; Arb; Prosa; s. I d.C.
 Columela; RR; Prosa; s. I d.C.
 Estacio; Silv.; Poesía; s. I d.C.
 Estacio; Theb.; Poesía; s. I d.C.
 Horacio; S.; Poesía; s. I a.C. - s. I d.C.
 Horacio; Carm; Poesía; s. I a.C. - s. I d.C.
 Horacio; Ars; Poesía; s. I a.C. - s. I d.C.
 Horacio; Ep.; Poesía; s. I a.C. - s. I d.C.
 Juvenal; S; Poesía; s. I d.C. - s. II d.C.
 Livio; AUC; Prosa; s. I a.C.
 Lucano; BC; Poesía; s. I d.C.
 Lucrecio; DRN; Poesía; s. I a.C.
 Marcial; Ep; Poesía; s. I d.C. - s. II d.C.
 Marcial; Sp; Poesía; s. I d.C. - s. II d.C.
 Ovidio; Am; Poesía; s. I a.C. - s. I d.C.
 Ovidio; Her; Poesía; s. I a.C. - s. I d.C.
 Ovidio; Ars; Poesía; s. I a.C. - s. I d.C.
 Ovidio; Rem; Poesía; s. I a.C. - s. I d.C.
 Ovidio; Met; Poesía; s. I a.C. - s. I d.C.
 Ovidio; Fast; Poesía; s. I a.C. - s. I d.C.
 Ovidio; Tr; Poesía; s. I a.C. - s. I d.C.
 Ovidio; Pont; Poesía; s. I a.C. - s. I d.C.
 Petronio; Sat.; Prosa; s. I d.C.
 Plauto; Am; Poesía; s. II a.C.
 Plauto; As; Poesía; s. II a.C.
 Plauto; Aul; Poesía; s. II a.C.
 Plauto; Bac; Poesía; s. II a.C.
 Plauto; Capt; Poesía; s. II a.C.
 Plauto; Cas; Poesía; s. II a.C.
 Plauto; Cur; Poesía; s. II a.C.
 Plauto; Epid; Poesía; s. II a.C.
 Plauto; Men; Poesía; s. II a.C.
 Plauto; Mer; Poesía; s. II a.C.
 Plauto; Mil; Poesía; s. II a.C.
 Plauto; Mos; Poesía; s. II a.C.
 Plauto; Per; Poesía; s. II a.C.
 Plauto; Poen; Poesía; s. II a.C.
 Plauto; Ps; Poesía; s. II a.C.
 Plauto; Rud; Poesía; s. II a.C.
 Plauto; St; Poesía; s. II a.C.
 Plauto; Trin; Poesía; s. II a.C.
 Plauto; Truc; Poesía; s. II a.C.
 Plinio ; Nat.; Prosa; s. I d.C.
 Plinio ; Ep.; Prosa; s. I d.C. - s. II d.C.
 Quintiliano; Inst.; Prosa; s. I d.C.
 Séneca; HerF; Poesía; s. I d.C.
 Séneca; Tro; Poesía; s. I d.C.
 Séneca; Phoen; Poesía; s. I d.C.
 Séneca; Med; Poesía; s. I d.C.
 Séneca; Phaed; Poesía; s. I d.C.
 Séneca; Oed; Poesía; s. I d.C.
 Séneca; Ag; Poesía; s. I d.C.
 Séneca; Thy; Poesía; s. I d.C.
 Séneca; Dial; Prosa; s. I d.C.
 Séneca; Ben; Prosa; s. I d.C.
 Séneca; Cl; Prosa; s. I d.C.
 Séneca; Ep; Prosa; s. I d.C.
 Suetonio; VC; Prosa; s. I d.C. - s. II d.C.
 Tácito; hist.; Prosa; s. I d.C. - s. II d.C.
 Tácito; Ann.; Prosa; s. I d.C. - s. II d.C.
 Tácito; Ger.; Prosa; s. I d.C. - s. II d.C.
 Valerio Flaco; Arg; Poesía; s. I d.C.
 Valerio Máximo; Mem.; Prosa; s. I a.C. - s. I d.C.
 Varrón; RR; Prosa; s. I a.C.
 Varrón; L.; Prosa; s. I a.C.
 Veleyo Patérculo; Histo; Prosa; s. I a.C. - s. I d.C.
 Virgilio; A; Poesía; s. I a.C. - s. I d.C.
 Virgilio; Ecl; Poesía; s. I a.C. - s. I d.C.
 Virgilio; G; Poesía; s. I a.C. - s. I d.C.
 Vitruvio; Arch; Prosa; s. I a.C. - s. I d.C.
