Noun;Frequency
bellum;3955
opus;2898
uita;1945
mors;1850
consilium;1850
spes;1661
dolor;1405
iudicium;1331
fides;1320
cura;1259
pax;1192
studium;1153
gratia;1148
honor;1140
periculum;1086
usus;1046
metus;1034
proelium;993
poena;902
salus;879
amor;875
laus;873
labor;850
casus;840
ira;817
beneficium;813
gloria;809
crimen;783
pugna;773
iniuria;769
scelus;757
fuga;742
impetus;739
auxilium;727
memoria;723
opera;599
morbus;598
cursus;576
initium;572
uictoria;555
negotium;549
uoluptas;538
mora;533
clamor;528
sensus;527
odium;506
somnus;505
ludus;481
amicitia;478
motus;455
uulnus;438
condicio;434
quaestio;430
exitus;426
principium;423
contio;422
opinio;415
culpa;413
otium;403
timor;376
gaudium;371
argumentum;367
status;366
error;349
libido;349
silentium;337
fraus;333
caedes;331
tumultus;313
triumphus;312
cupiditas;304
terror;303
facinus;303
insidiae;298
furor;296
fluctus;294
pudor;289
disciplina;282
necessitas;280
custodia;276
aditus;270
cogitatio;270
discrimen;262
conspectus;258
supplicium;253
spectaculum;250
suspicio;248
gradus;246
fiducia;244
funus;244
occasio;241
luctus;240
ictus;240
certamen;235
concilium;232
incendium;230
inuidia;227
seditio;227
aduentus;221
inopia;208
origo;203
spolium;203
sumptus;197
damnum;195
arbitrium;195
